"customerkey","geographykey","customeralternatekey","firstname","middlename","lastname","birthdate","gender","emailaddress","addressline1","datefirstpurchase","commutedistance","stateprovincecode","stateprovincename","countryregioncode","englishcountryregionname","postalcode","salesterritorykey","ipaddresslocator"
11000,26,"AW00011000","Jon","V","Yang","1971-10-06","M","jon24@adventure-works.com","3761 N. 14th St","2020-01-19","1-2 Miles","QLD","Queensland","AU","Australia","4700",9,"198.51.100.27"
11001,37,"AW00011001","Eugene","L","Huang","1976-05-10","M","eugene10@adventure-works.com","2243 W St.","2020-01-15","0-1 Miles","VIC","Victoria","AU","Australia","3198",9,"198.51.100.38"
11002,31,"AW00011002","Ruben",NULL,"Torres","1971-02-09","M","ruben35@adventure-works.com","5844 Linden Land","2020-01-07","2-5 Miles","TAS","Tasmania","AU","Australia","7001",9,"198.51.100.32"
11003,11,"AW00011003","Christy",NULL,"Zhu","1973-08-14","F","christy12@adventure-works.com","1825 Village Pl.","2019-12-29","5-10 Miles","NSW","New South Wales","AU","Australia","2113",9,"198.51.100.12"
11004,19,"AW00011004","Elizabeth",NULL,"Johnson","1979-08-05","F","elizabeth5@adventure-works.com","7553 Harness Circle","2020-01-23","1-2 Miles","NSW","New South Wales","AU","Australia","2500",9,"198.51.100.20"
11005,22,"AW00011005","Julio",NULL,"Ruiz","1976-08-01","M","julio1@adventure-works.com","7305 Humphrey Drive","2019-12-30","5-10 Miles","QLD","Queensland","AU","Australia","4169",9,"198.51.100.23"
11006,8,"AW00011006","Janet","G","Alvarez","1976-12-02","F","janet9@adventure-works.com","2612 Berry Dr","2020-01-24","5-10 Miles","NSW","New South Wales","AU","Australia","2036",9,"198.51.100.9"
11007,40,"AW00011007","Marco",NULL,"Mehta","1969-11-06","M","marco14@adventure-works.com","942 Brook Street","2020-01-09","0-1 Miles","VIC","Victoria","AU","Australia","3280",9,"198.51.100.41"
11008,32,"AW00011008","Rob",NULL,"Verhoff","1975-07-04","F","rob4@adventure-works.com","624 Peabody Road","2020-01-25","10+ Miles","VIC","Victoria","AU","Australia","3550",9,"198.51.100.33"
11009,25,"AW00011009","Shannon","C","Carlson","1969-09-29","M","shannon38@adventure-works.com","3839 Northgate Road","2020-01-27","5-10 Miles","QLD","Queensland","AU","Australia","4655",9,"198.51.100.26"
11010,22,"AW00011010","Jacquelyn","C","Suarez","1969-08-05","F","jacquelyn20@adventure-works.com","7800 Corrinne Court","2020-01-14","5-10 Miles","QLD","Queensland","AU","Australia","4169",9,"198.51.100.23"
11011,22,"AW00011011","Curtis",NULL,"Lu","1969-05-03","M","curtis9@adventure-works.com","1224 Shoenic","2019-12-30","10+ Miles","QLD","Queensland","AU","Australia","4169",9,"198.51.100.23"
11012,611,"AW00011012","Lauren","M","Walker","1979-01-14","F","lauren41@adventure-works.com","4785 Scott Street","2022-03-16","1-2 Miles","WA","Washington","US","United States","98312",1,"203.0.113.104"
11013,543,"AW00011013","Ian","M","Jenkins","1979-08-03","M","ian47@adventure-works.com","7902 Hudson Ave.","2022-04-13","0-1 Miles","OR","Oregon","US","United States","97355",1,"203.0.113.36"
11014,634,"AW00011014","Sydney",NULL,"Bennett","1973-11-06","F","sydney23@adventure-works.com","9011 Tank Drive","2022-03-23","1-2 Miles","WA","Washington","US","United States","98052",1,"203.0.113.127"
11015,301,"AW00011015","Chloe",NULL,"Young","1984-08-26","F","chloe23@adventure-works.com","244 Willow Pass Road","2022-01-18","5-10 Miles","CA","California","US","United States","91502",4,"192.0.2.48"
11016,329,"AW00011016","Wyatt","L","Hill","1984-10-25","M","wyatt32@adventure-works.com","9666 Northridge Ct.","2022-02-09","5-10 Miles","CA","California","US","United States","91932",4,"192.0.2.76"
11017,39,"AW00011017","Shannon",NULL,"Wang","1949-12-24","F","shannon1@adventure-works.com","7330 Saddlehill Lane","2020-01-12","5-10 Miles","VIC","Victoria","AU","Australia","3429",9,"198.51.100.40"
11018,32,"AW00011018","Clarence","D","Rai","1955-10-06","M","clarence32@adventure-works.com","244 Rivewview","2020-01-17","5-10 Miles","VIC","Victoria","AU","Australia","3550",9,"198.51.100.33"
11019,52,"AW00011019","Luke","L","Lal","1983-09-04","M","luke18@adventure-works.com","7832 Landing Dr","2022-02-12","5-10 Miles","BC","British Columbia","CA","Canada","V3A 4R2",6,"198.51.100.53"
11020,53,"AW00011020","Jordan","C","King","1984-03-19","M","jordan73@adventure-works.com","7156 Rose Dr.","2021-12-29","1-2 Miles","BC","British Columbia","CA","Canada","V9",6,"198.51.100.54"
11021,536,"AW00011021","Destiny",NULL,"Wilson","1984-03-02","F","destiny7@adventure-works.com","8148 W. Lake Dr.","2022-01-23","1-2 Miles","OR","Oregon","US","United States","97005",1,"203.0.113.29"
11022,609,"AW00011022","Ethan","G","Zhang","1984-04-10","M","ethan20@adventure-works.com","1769 Nicholas Drive","2022-01-20","5-10 Miles","WA","Washington","US","United States","98225",1,"203.0.113.102"
